id,horodatage,value
1,2025-10-14 00:30:00,298
2,2025-10-14 01:00:00,440
3,2025-10-14 01:30:00,1076
4,2025-10-14 02:00:00,1470
5,2025-10-14 02:30:00,1364
6,2025-10-14 03:00:00,644
7,2025-10-14 03:30:00,1082
8,2025-10-14 04:00:00,702
9,2025-10-14 04:30:00,554
10,2025-10-14 05:00:00,1464
11,2025-10-14 05:30:00,542
12,2025-10-14 06:00:00,1410
13,2025-10-14 06:30:00,600
14,2025-10-14 07:00:00,2354
15,2025-10-14 07:30:00,2898
16,2025-10-14 08:00:00,652
17,2025-10-14 08:30:00,474
18,2025-10-14 09:00:00,256
19,2025-10-14 09:30:00,1462
20,2025-10-14 10:00:00,542
21,2025-10-14 10:30:00,596
22,2025-10-14 11:00:00,558
23,2025-10-14 11:30:00,498
24,2025-10-14 12:00:00,352
25,2025-10-14 12:30:00,1134
26,2025-10-14 13:00:00,376
27,2025-10-14 13:30:00,344
28,2025-10-14 14:00:00,264
29,2025-10-14 14:30:00,412
30,2025-10-14 15:00:00,296
31,2025-10-14 15:30:00,332
32,2025-10-14 16:00:00,436
33,2025-10-14 16:30:00,238
34,2025-10-14 17:00:00,292
35,2025-10-14 17:30:00,470
36,2025-10-14 18:00:00,268
37,2025-10-14 18:30:00,324
38,2025-10-14 19:00:00,440
39,2025-10-14 19:30:00,506
40,2025-10-14 20:00:00,426
41,2025-10-14 20:30:00,558
42,2025-10-14 21:00:00,952
43,2025-10-14 21:30:00,3448
44,2025-10-14 22:00:00,2508
45,2025-10-14 22:30:00,380
46,2025-10-14 23:00:00,414
47,2025-10-14 23:30:00,600
48,2025-10-15 00:00:00,1388
49,2025-10-15 00:30:00,642
50,2025-10-15 01:00:00,458
51,2025-10-15 01:30:00,1132
52,2025-10-15 02:00:00,1348
53,2025-10-15 02:30:00,924
54,2025-10-15 03:00:00,1490
55,2025-10-15 03:30:00,1574
56,2025-10-15 04:00:00,610
57,2025-10-15 04:30:00,528
58,2025-10-15 05:00:00,1276
59,2025-10-15 05:30:00,936
60,2025-10-15 06:00:00,1474
61,2025-10-15 06:30:00,574
62,2025-10-15 07:00:00,774
63,2025-10-15 07:30:00,1412
64,2025-10-15 08:00:00,724
65,2025-10-15 08:30:00,944
66,2025-10-15 09:00:00,810
67,2025-10-15 09:30:00,666
68,2025-10-15 10:00:00,1024
69,2025-10-15 10:30:00,946
70,2025-10-15 11:00:00,466
71,2025-10-15 11:30:00,396
72,2025-10-15 12:00:00,444
73,2025-10-15 12:30:00,498
74,2025-10-15 13:00:00,560
75,2025-10-15 13:30:00,1990
76,2025-10-15 14:00:00,1072
77,2025-10-15 14:30:00,918
78,2025-10-15 15:00:00,5472
79,2025-10-15 15:30:00,2486
80,2025-10-15 16:00:00,2232
81,2025-10-15 16:30:00,2262
82,2025-10-15 17:00:00,3766
83,2025-10-15 17:30:00,3342
84,2025-10-15 18:00:00,2398
85,2025-10-15 18:30:00,2216
86,2025-10-15 19:00:00,2122
87,2025-10-15 19:30:00,1172
88,2025-10-15 20:00:00,440
89,2025-10-15 20:30:00,300
90,2025-10-15 21:00:00,1242
91,2025-10-15 21:30:00,4274
92,2025-10-15 22:00:00,4318
93,2025-10-15 22:30:00,4466
94,2025-10-15 23:00:00,1534
95,2025-10-15 23:30:00,296
96,2025-10-16 00:00:00,308
97,2024-12-01 02:00:00,3944
98,2024-12-01 03:00:00,5323
99,2024-12-01 04:00:00,3281
100,2024-12-01 05:00:00,2424
101,2024-12-01 06:00:00,2697
102,2024-12-01 07:00:00,2768
103,2024-12-01 08:00:00,2745
104,2024-12-01 09:00:00,4975
105,2024-12-01 10:00:00,4291
106,2024-12-01 11:00:00,7519
107,2024-12-01 12:00:00,4645
108,2024-12-01 13:00:00,5601
109,2024-12-01 14:00:00,3324
110,2024-12-01 15:00:00,4103
111,2024-12-01 16:00:00,3774
112,2024-12-01 17:00:00,4116
113,2024-12-01 18:00:00,2874
114,2024-12-01 19:00:00,2950
115,2024-12-01 20:00:00,2536
116,2024-12-01 21:00:00,4808
117,2024-12-01 22:00:00,6028
118,2024-12-01 23:00:00,5493
119,2024-12-02 00:00:00,1984
120,2024-12-02 01:00:00,2005
121,2024-12-02 02:00:00,4048
122,2024-12-02 03:00:00,4406
123,2024-12-02 04:00:00,1898
124,2024-12-02 05:00:00,2592
125,2024-12-02 06:00:00,2127
126,2024-12-02 07:00:00,2138
127,2024-12-02 08:00:00,3699
128,2024-12-02 09:00:00,1793
129,2024-12-02 10:00:00,1424
130,2024-12-02 11:00:00,772
131,2024-12-02 12:00:00,934
132,2024-12-02 13:00:00,839
133,2024-12-02 14:00:00,552
134,2024-12-02 15:00:00,971
135,2024-12-02 16:00:00,1054
136,2024-12-02 17:00:00,884
137,2024-12-02 18:00:00,737
138,2024-12-02 19:00:00,2108
