horodatage,value
2021-12-21 00:00:00,66.914
2021-12-22 00:00:00,73.26
2021-12-23 00:00:00,74.357
2021-12-24 00:00:00,67.097
2021-12-25 00:00:00,51.238
2021-12-26 00:00:00,38.717
2021-12-27 00:00:00,37.836
2021-12-28 00:00:00,49.587
2021-12-29 00:00:00,38.373
2021-12-30 00:00:00,36.972
2021-12-31 00:00:00,32.398
2022-01-01 00:00:00,57.939
2022-01-02 00:00:00,36.741
2022-01-03 00:00:00,47.511
2022-01-04 00:00:00,50.031
2022-01-05 00:00:00,63.952
2022-01-06 00:00:00,74.378
2022-01-07 00:00:00,56.223
2022-01-08 00:00:00,58.198
2022-01-09 00:00:00,60.547
2022-01-10 00:00:00,56.396
2022-01-11 00:00:00,55.518
2022-01-12 00:00:00,68.387
2022-01-13 00:00:00,63.629
2022-01-14 00:00:00,58.494
2022-01-15 00:00:00,57.298
2022-01-16 00:00:00,66.901
2022-01-17 00:00:00,33.364
2022-01-18 00:00:00,42.632
2022-01-19 00:00:00,48.105
2022-01-20 00:00:00,48.938
2022-01-21 00:00:00,42.221
2022-01-22 00:00:00,54.665
2022-01-23 00:00:00,64.274
2022-01-24 00:00:00,47.73
2022-01-25 00:00:00,63.406
2022-01-26 00:00:00,71.555
2022-01-27 00:00:00,60.599
2022-01-28 00:00:00,52.076
2022-01-29 00:00:00,53.735
2022-01-30 00:00:00,58.384
2022-01-31 00:00:00,61.482
2022-02-01 00:00:00,63.227
2022-02-02 00:00:00,59.981
2022-02-03 00:00:00,55.283
2022-02-04 00:00:00,56.584
2022-02-05 00:00:00,58.038
2022-02-06 00:00:00,60.169
2022-02-07 00:00:00,59.424
2022-02-08 00:00:00,61.764
2022-02-09 00:00:00,66.623
2022-02-10 00:00:00,71.098
2022-02-11 00:00:00,58.295
2022-02-12 00:00:00,34.043
2022-02-13 00:00:00,10.285
2022-02-14 00:00:00,9.985
2022-02-15 00:00:00,9.866
2022-02-16 00:00:00,10.126
2022-02-17 00:00:00,9.65
2022-02-18 00:00:00,9.87
2022-02-19 00:00:00,65.041
2022-02-20 00:00:00,56.3
2022-02-21 00:00:00,53.211
2022-02-22 00:00:00,49.038
2022-02-23 00:00:00,45.711
2022-02-24 00:00:00,54.495
2022-02-25 00:00:00,63.885
2022-02-26 00:00:00,54.238
2022-02-27 00:00:00,56.969
2022-02-28 00:00:00,60.683
2022-03-01 00:00:00,42.628
2022-03-02 00:00:00,34.537
2022-03-03 00:00:00,44.281
2022-03-04 00:00:00,40.118
2022-03-05 00:00:00,50.214
2022-03-06 00:00:00,50.626
2022-03-07 00:00:00,57.032
2022-03-08 00:00:00,52.629
2022-03-09 00:00:00,44.053
2022-03-10 00:00:00,37.047
2022-03-11 00:00:00,32.471
2022-03-12 00:00:00,47.765
2022-03-13 00:00:00,53.812
2022-03-14 00:00:00,37.164
2022-03-15 00:00:00,37.502
2022-03-16 00:00:00,32.099
2022-03-17 00:00:00,38.058
2022-03-18 00:00:00,36.864
2022-03-19 00:00:00,54.36
2022-03-20 00:00:00,85.128
2022-03-21 00:00:00,54.107
2022-03-22 00:00:00,45.076
2022-03-23 00:00:00,55.826
2022-03-24 00:00:00,40.612
2022-03-25 00:00:00,43.802
2022-03-26 00:00:00,50.984
2022-03-27 00:00:00,51.686
2022-03-28 00:00:00,37.109
2022-03-29 00:00:00,34.386
2022-03-30 00:00:00,57.594
2022-03-31 00:00:00,57.698
2022-04-01 00:00:00,78.722
2022-04-02 00:00:00,85.41
2022-04-03 00:00:00,69.172
2022-04-04 00:00:00,54.904
2022-04-05 00:00:00,37.78
2022-04-06 00:00:00,48.719
2022-04-07 00:00:00,61.318
2022-04-08 00:00:00,65.327
2022-04-09 00:00:00,63.807
2022-04-10 00:00:00,67.605
2022-04-11 00:00:00,52.375
2022-04-12 00:00:00,38.408
2022-04-13 00:00:00,55.451
2022-04-14 00:00:00,39.04
2022-04-15 00:00:00,45.177
2022-04-16 00:00:00,42.363
2022-04-17 00:00:00,37.524
