Mois,abonnement_elec,abonnement_gaz,prix_kwh_elec_hc_ht,prix_kwh_elec_hp_ht,ratio_conso_hp,prix_kwh_gaz_ht
01/01/2024,15.75,22.96,0.1618,0.214,0.58,0.0688
01/02/2024,15.9,22.96,0.1513,0.204,0.54,0.05972
01/03/2024,15.9,22.96,0.1513,0.204,0.51,0.05506
01/04/2024,15.9,22.96,0.1513,0.204,0.49,0.04842
01/05/2024,15.9,22.96,0.1513,0.204,0.49,0.04965
01/06/2024,15.9,22.96,0.1513,0.204,0.47,0.05131
01/07/2024,15.9,26.9,0.1513,0.204,0.46,0.05793
01/08/2024,15.9,26.9,0.1513,0.204,0.48,0.05988
01/09/2024,15.9,26.9,0.1513,0.204,0.54,0.05877
01/10/2024,15.9,20.2,0.1513,0.204,0.57,0.07137
01/11/2024,15.9,20.2,0.1513,0.204,0.57,0.07029
01/12/2024,15.9,20.2,0.1513,0.204,0.56,0.07283
01/01/2025,15.9,20.2,0.1513,0.204,0.57,0.0771
01/02/2025,16.99,20.2,0.1513,0.204,0.56,0.07737
01/03/2025,16.99,20.2,0.1513,0.204,0.51,0.07958
01/04/2025,16.99,20.2,0.1513,0.204,0.41,0.08169
01/05/2025,16.99,20.2,0.1513,0.204,0.42,0.07508
01/06/2025,16.99,20.2,0.1513,0.204,0.43,0.06994
01/07/2025,17.23,19.27,0.0861,0.1161,0.46,0.0681
01/08/2025,17.23,19.27,0.0861,0.1161,0.48,0.0681
01/09/2025,17.23,19.27,0.0861,0.1161,0.54,0.0681
01/10/2025,17.23,19.27,0.0861,0.1161,0.57,0.0681
01/11/2025,17.23,19.27,0.0861,0.1161,0.57,0.0681
01/12/2025,17.23,19.27,0.0861,0.1161,0.56,0.0681
01/01/2026,17.23,19.27,0.0861,0.1161,0.57,0.0681
01/02/2026,17.23,19.27,0.0861,0.1161,0.56,0.0681
01/03/2026,17.23,19.27,0.0861,0.1161,0.51,0.0681
01/04/2026,17.23,19.27,0.0861,0.1161,0.41,0.0681
01/05/2026,17.23,19.27,0.0861,0.1161,0.42,0.0681
01/06/2026,17.23,19.27,0.0861,0.1161,0.47,0.0681
01/07/2026,17.23,19.27,0.0861,0.1161,0.46,0.0681
01/08/2026,17.23,19.27,0.0861,0.1161,0.48,0.0681
01/09/2026,17.23,19.27,0.0861,0.1161,0.54,0.0681
01/10/2026,17.23,19.27,0.0861,0.1161,0.57,0.0681
01/11/2026,17.23,19.27,0.0861,0.1161,0.57,0.0681
01/12/2026,17.23,19.27,0.0861,0.1161,0.56,0.0681
01/01/2027,17.23,19.27,0.0861,0.1161,0.57,0.0681
01/02/2027,17.23,19.27,0.0861,0.1161,0.56,0.0681
01/03/2027,17.23,19.27,0.0861,0.1161,0.51,0.0681
01/04/2027,17.23,19.27,0.0861,0.1161,0.41,0.0681
01/05/2027,17.23,19.27,0.0861,0.1161,0.42,0.0681
01/06/2027,17.23,19.27,0.0861,0.1161,0.43,0.0681
01/07/2027,17.23,19.27,0.0861,0.1161,0.46,0.0681
