horodatage,temperature_2m_min,temperature_2m_max
2022-01-01 00:00:00,8.351,13.851
2022-01-02 00:00:00,11.051,13.551
2022-01-03 00:00:00,9.951,12.101
2022-01-04 00:00:00,3.401,10.101
2022-01-05 00:00:00,0.201,6.351
2022-01-06 00:00:00,-1.799,6.2009997
2022-01-07 00:00:00,3.951,7.401
2022-01-08 00:00:00,2.301,8.801
2022-01-09 00:00:00,3.7510002,6.351
2022-01-10 00:00:00,3.651,6.101
2022-01-11 00:00:00,1.6010001,5.401
2022-01-12 00:00:00,-0.24900001,5.4509997
2022-01-13 00:00:00,0.551,5.101
2022-01-14 00:00:00,-0.84900004,7.101
2022-01-15 00:00:00,-2.299,4.401
2022-01-16 00:00:00,-0.649,6.4509997
2022-01-17 00:00:00,0.40100002,7.8009996
2022-01-18 00:00:00,0.40100002,8.451
2022-01-19 00:00:00,-0.34899998,7.9509997
2022-01-20 00:00:00,0.40100002,6.4509997
2022-01-21 00:00:00,-0.199,5.9509997
2022-01-22 00:00:00,2.901,6.5509996
2022-01-23 00:00:00,2.851,4.8009996
2022-01-24 00:00:00,-1.799,7.0509996
2022-01-25 00:00:00,-2.049,2.5010002
2022-01-26 00:00:00,0.651,5.401
2022-01-27 00:00:00,2.601,8.101
2022-01-28 00:00:00,4.5509996,9.701
2022-01-29 00:00:00,6.851,10.250999
2022-01-30 00:00:00,2.801,9.301
2022-01-31 00:00:00,2.401,8.500999
2022-02-01 00:00:00,2.201,10.000999
2022-02-02 00:00:00,7.3009996,10.851
2022-02-03 00:00:00,4.4509997,9.051
2022-02-04 00:00:00,3.301,11.051
2022-02-05 00:00:00,2.551,9.401
2022-02-06 00:00:00,6.601,10.601
2022-02-07 00:00:00,3.2510002,9.601
2022-02-08 00:00:00,5.101,11.651
2022-02-09 00:00:00,2.401,11.051
2022-02-10 00:00:00,3.101,8.451
2022-02-11 00:00:00,-0.999,8.051
2022-02-12 00:00:00,-1.099,8.451
2022-02-13 00:00:00,-0.048999995,12.051
2022-02-14 00:00:00,5.251,11.451
2022-02-15 00:00:00,3.351,9.801
2022-02-16 00:00:00,8.951,14.401
2022-02-17 00:00:00,8.801,12.851
2022-02-18 00:00:00,4.8009996,12.401
2022-02-19 00:00:00,2.401,9.551
2022-02-20 00:00:00,7.351,12.451
